"id";"id_cabang";"merek";"jenis";"tipe";"nomor_mesin";"nomor_rangka";"nomor_polisi";"tanggal_pembelian";"km_sekarang";"km_servis_berkala";"km_servis_terakhir";"status";"foto"
"21";"1";"- [ jalur 5 ] -";"GRAND MAX";"RUTE : SEBERANG 1";;;"KT 8602 OS";"0000-00-00";"257322";"0";"0";"AKTIF";NULL
"22";"1";"- [ Jalur 15 ] -";"GRAND MAX";"RUTE : KHUSUS MALAM";;;"L 8602 MO";"0000-00-00";"3641890";"0";"0";"AKTIF";NULL
"23";"1";"- [ Jalur 2 ] -";"TRAGA";"RUTE : BIG MALL DALAM";;;"KT 8563 PE";"0000-00-00";"0";"0";"0";"AKTIF";NULL
"24";"1";"- [ Jalur 9 ] -";"L300";"RUTE : HANDIL";;;"KT 8913 NP";"0000-00-00";"0";"0";"0";"AKTIF";NULL
"25";"2";"- [ Jalur 1 ] -";"GRAND MAX";"RUTE : BSB PENTA";;;"KT 8715 YS";"0000-00-00";"120345";"0";"0";"AKTIF";NULL
"9";"1";"- [ Jalur 1 ] -";"HINO 300";"RUTE : JUANDA |  HINO";"MJECCA4F4N5005886";"MJECCA4F4N5005886";"L 8101 VB";"0000-00-00";"621303";"0";"0";"AKTIF";NULL
"10";"1";"- [ Jalur 10 ] -";"HINO 300";"RUTE : LEMBUSWANA";"MJECCA4F1P5016881";"MJECCA4F1P5016881";"L 8446 VC";"0000-00-00";"477679";"0";"0";"AKTIF";NULL
"11";"1";"- [ Jalur 11 ] -";"HINO 300";"RUTE : KS. TUBUN";"MJECCA4F6N5010202";"MJECCA4F6N5010202";"L 8443 VC";"0000-00-00";"0";"0";"0";"AKTIF";NULL
"12";"1";"- [ Jalur 12 ] -";"HINO 300";"RUTE : TANAH MERAH";"MJECCA4F1P5017268";"MJECCA4F1P5017268";"L 8442 VC";"0000-00-00";"65224";"0";"0";"AKTIF";NULL
"13";"1";"- [ Jalur 13 ] -";"HINO 300";"RUTE : SEBERANG";"MJECCA4F3N5005829";"MJECCA4F3N5005829";"L 8104 VB";"0000-00-00";"8099904";"0";"0";"AKTIF";NULL
