"id";"id_kategori";"nama";"keterangan";"id_cabang"
"1";"1";"Pelastik 10kg Seal Bottom";NULL;"1"
"3";"1";"PLASTIK ROLL";NULL;"1"
"4";"2";"Nota Thermal";NULL;"1"
"5";"2";"Tanda Terima Invoice";NULL;"1"
"6";"2";"Nota Manual";NULL;"1"
"7";"3";"Oli Mesin GM";NULL;"1"
"8";"3";"Oli Mesin Hino/Solar (Liter)";NULL;"1"
"9";"3";"Oli Transmisi 80W90";NULL;"1"
"10";"3";"Oli Transmisi 90";NULL;"1"
"11";"3";"Oli Gardan 140";NULL;"1"
"12";"3";"Filter Oli GM";NULL;"1"
"13";"3";"Filter Oli Hino";NULL;"1"
"14";"3";"Minyak Rem";NULL;"1"
"15";"3";"Air Aki";NULL;"1"
"16";"4";"Oli Mesin";NULL;"1"
"19";"4";"Freon R22";NULL;"1"
"21";"5";"Freon 404";NULL;"1"
"22";"6";"Masker";NULL;"1"
"23";"6";"Hairnet";NULL;"1"
"24";"6";"Sarung Tangan";NULL;"1"
"25";"6";"Printer Bluetooth (Beroperasi)";NULL;"1"
"26";"6";"Printer Bluetooth ( tidak beroperasi)";NULL;"1"
"27";"6";"Sepatu Boots";NULL;"1"
"28";"6";"Topi Driver";NULL;"1"
"29";"6";"Topi Abu Staf Produksi";NULL;"1"
"30";"6";"Seragam Abu Staf Operator (Sepasang)";NULL;"1"
"31";"6";"Seragam Abu Staf Sealer (Sepasang)";NULL;"1"
"32";"6";"Seragam Abu Staf Muat (Sepasang)";NULL;"1"
"33";"6";"Seragam Jaket Staf Susun (Sepasang)";NULL;"1"
"34";"6";"Seragam Jaket Staf Muat";NULL;"1"
"35";"6";"Seragam Kaos Putih Tim Inti";NULL;"1"
"36";"6";"Seragam Kemeja Putih Tim Inti";NULL;"1"
"37";"6";"Seragam Batik Tim Inti";NULL;"1"
"38";"6";"Seragam Kemeja Driver";NULL;"1"
"39";"6";"Seragam Kaos Driver";NULL;"1"
"40";"7";"Oasing Evoqua 0,1 Micron 10""";NULL;"1"
"41";"7";"Oasing Evoqua 0,5 Micron 20""";NULL;"1"
"42";"7";"Oasing Carbon Equatic";NULL;"1"
"43";"7";"Carbon Arang Haycarb";NULL;"1"
"44";"7";"Pasir Silika KDK";NULL;"1"
"45";"4";"Freon 404";NULL;"1"
"46";"1";"Plastik kemasan 10kg sealer manual";NULL;"2"
"47";"1";"Plastik kemasan 5kg sealer manual";NULL;"2"
"48";"2";"Nota thermal";NULL;"2"
"49";"2";"Tanda terima invoice";NULL;"2"
"50";"2";"Nota manual";NULL;"2"
"51";"3";"Oli Mesin Grand Max";NULL;"2"
"54";"3";"Oli Tansmisi 80W90";NULL;"2"
"55";"3";"Oli Gardan/ Transmisi 90";NULL;"2"
"57";"3";"Filter oli grand max";NULL;"2"
"58";"3";"Filter oli hino (euro 4 JIB40)";NULL;"2"
"59";"3";"Filter solar hino (euro4 JIAE70)";NULL;"2"
"60";"3";"Filter Solar Hino ( euro4 JIE51)";NULL;"2"
"61";"3";"Minyak rem";NULL;"2"
"62";"3";"Air Accu";NULL;"2"
"63";"3";"Kampas Rem belakang";NULL;"2"
"64";"3";"Kampas Kopling";NULL;"2"
"65";"3";"Matahari";NULL;"2"
"66";"3";"Baut";NULL;"2"
"67";"3";"Mur";NULL;"2"
"68";"3";"Bearing Cop";NULL;"2"
"69";"3";"Bearing As Roda Belakang";NULL;"2"
"71";"3";"Velg Mobil Hino";NULL;"2"
"72";"3";"Ban Luar Mobil Hino (depan)";NULL;"2"
"75";"3";"Ban Luar Mobil Hino(belakang)";NULL;"2"
"76";"3";"Ban dalam hino ( belakang )";NULL;"2"
"77";"3";"Ban dalam Hino (depan)";NULL;"2"
"78";"3";"Velg Mobil Grand Max";NULL;"2"
"79";"3";"Ban Dalam mobil Grand max (depan)";NULL;"2"
"80";"3";"Ban Dalam Mobil Grand Max ( belakang)";NULL;"2"
"81";"3";"Ban luar mobil Grand Max ( belakang )";NULL;"2"
"82";"3";"Ban luar mobil grand max (depan)";NULL;"2"
"83";"3";"Bak Rem";NULL;"2"
"84";"3";"Strainer Fuel Solar system";NULL;"2"
"85";"3";"Seal As";NULL;"2"
"86";"3";"Air radiator";NULL;"2"
"87";"4";"Oli Mesin";NULL;"2"
"88";"4";"Freon R22";NULL;"2"
